step,reward
1,36.06
2,36.12
3,50.18
4,55.24
5,58.3
6,51.36
7,57.56286
8,59.23
9,60.54
10,54.6
11,52.963634
12,58.16
13,59.181538
14,60.065716
15,60.84
16,61.525
17,62.13647
18,62.68667
19,63.185265
20,58.14
21,62.62857
22,63.078182
23,58.189564
24,57.32
25,61.72
26,56.995384
27,56.328888
28,60.665714
29,61.095173
30,61.5
31,56.914837
32,61.3075
33,56.77091
34,56.14941
35,60.537144
36,56.073334
37,60.38865
38,55.957893
39,55.43231
40,59.68
41,59.91268
42,60.131428
43,60.45721
44,60.65091
45,60.953335
46,56.593044
47,60.828938
48,56.31
49,60.59959
50,56.22
51,55.855293
52,55.504616
53,55.22717
54,54.962223
55,54.70909
56,58.88286
57,54.642105
58,58.808964
59,54.51966
60,54.24
61,54.029507
62,58.251614
63,54.050476
64,58.32625
65,58.475384
66,58.67818
67,54.487164
68,54.303528
69,54.066956
70,58.325714
71,54.03634
72,58.23
73,53.9474
74,53.79081
75,53.52
76,57.769474
77,57.894028
78,53.68923
79,57.929367
80,57.985
81,58.156296
82,53.95756
83,53.763615
84,53.394287
85,57.502354
86,57.66651
87,57.706898
88,53.582726
89,53.4027
90,57.5
91,57.593845
92,53.418262
93,53.30645
94,53.138298
95,57.229473
96,57.3775
97,57.582474
98,57.78449
99,53.680607
100,57.88
101,53.779606
102,57.91647
103,58.05068
104,58.18231
105,58.19143
106,58.378113
107,58.50243
108,54.34667
109,54.19376
110,58.37636
111,58.496758
112,58.675
113,58.85115
114,59.025265
115,59.01739
116,59.187588
117,59.355896
118,55.268135
119,59.194958
120,59.3
121,55.035374
122,59.079018
123,54.937073
124,54.857418
125,59.02
126,59.06095
127,54.864094
128,58.96375
129,59.12186
130,54.987694
131,54.915573
132,58.95273
133,54.822857
134,54.694927
135,58.851112
136,59.005882
137,54.940292
138,59.033913
139,59.186188
140,59.27714
141,55.214043
142,59.243942
143,59.21259
144,59.36
145,55.29931
146,59.445755
147,59.53102
148,59.555134
149,59.69812
150,55.46
151,55.343445
152,55.28842
153,59.25098
154,59.212467
155,59.3529
156,55.24
157,55.068535
158,59.208355
159,59.347168
160,59.485
161,55.435528
162,59.572594
163,55.464664
164,59.420975
165,55.254547
166,59.33012
167,59.34479
168,59.478573
169,59.55148
170,55.44706
171,59.5793
172,59.710697
173,59.781273
174,59.851036
175,55.688572
176,55.587273
177,59.59661
178,59.605167
179,55.565365
180,59.633335
181,55.474808
182,55.37736
183,59.504917
184,55.228695
185,55.073513
186,59.140644
187,55.04663
188,59.17319
189,59.239048
190,55.206314
191,59.27162
192,59.39625
193,59.520206
194,55.368866
195,55.21846
196,59.28204
197,59.344975
198,59.34727
199,59.408943
200,59.47
201,55.381195
202,59.50178
203,59.621773
204,59.741177
205,55.65366
206,55.62699
207,59.746086
208,59.744614
209,59.802586
210,59.8
211,59.916874
212,59.97321
213,55.94817
214,60.004112
215,59.999535
216,60.114445
217,55.9706
218,55.94752
219,60.002193
220,60.116364
221,56.034298
222,56.012974
223,60.126907
224,60.120358
225,60.233334
226,60.22584
227,56.085728
228,60.197895
229,60.249607
230,60.24087
231,56.101818
232,60.15276
233,60.203262
234,56.005127
235,59.99532
236,55.917965
237,59.90785
238,55.77126
239,59.820835
240,59.93
241,60.038754
242,60.08711
243,60.19506
244,60.302624
245,60.289795
246,56.214634
247,60.26154
248,56.187096
249,56.173252
250,60.16
251,56.02685
252,60.073334
253,56.00087
254,60.107086
255,60.21294
256,56.20125
257,60.24685
258,60.232094
259,60.27699
260,60.321537
261,56.250805
262,56.240612
263,56.23095
264,60.275455
265,60.319622
266,56.190678
267,60.174606
268,60.21821
269,60.20149
270,56.133335
271,60.116383
272,60.099117
273,60.141537
274,56.13416
275,60.236362
276,56.169567
277,60.151554
278,56.085323
279,56.01957
280,56.014286
281,60.116226
282,60.15787
283,56.033215
284,60.134647
285,60.23579
286,56.111748
287,56.108154
288,56.105
289,56.042282
290,60.02345
291,55.96124
292,59.942192
293,55.94048
294,60.041225
295,55.92
296,59.96054
297,55.8998
298,55.839462
299,55.719532
300,59.82
301,55.70053
302,59.740795
303,55.68178
304,55.50316
305,59.48328
306,59.523136
307,59.622738
308,55.624676
309,59.72408
310,55.72645
311,55.669197
312,59.768463
313,59.807476
314,59.84624
315,59.764763
316,59.80304
317,55.746437
318,59.84453
319,59.88238
320,59.92
321,59.957382
322,59.994534
323,60.091454
324,60.128147
325,60.224617
326,60.20086
327,56.145138
328,60.24122
329,56.185898
330,60.221817
331,60.077522
332,60.11301
333,60.14829
334,60.123352
335,55.948658
336,55.954285
337,60.04926
338,60.084023
339,59.998585
340,59.972942
341,55.91912
342,55.925613
343,59.959885
344,59.993954
345,60.027824
346,60.001503
347,56.00853
348,55.955864
349,59.989456
350,55.997143
