episode,episode_reward
0,197420.42
1,197576.77
2,200004.03
3,197843.81
4,199646.08
5,200476.61
6,198812.81
7,200268.69
8,198831.47
9,198514.06
10,200391.11
11,200901.86
12,198946.12
13,198392.14
14,199100.05
15,201186.47
16,199097.31
17,199309.14
18,199699.42
19,198983.19
20,199142.28
21,199520.12
22,200385.53
23,199760.2
24,199010.19
25,199850.5
26,199836.05
27,199069.14
28,200194.36
29,198682.02
30,198695.08
31,201214.9
32,198443.4
33,200753.28
34,200517.8
35,199636.62
36,199129.72
37,200618.69
38,199802.72
39,199561.98
40,200352.17
41,200232.05
42,198737.44
43,200125.47
44,200174.53
45,201942.44
46,198421.9
47,200372.94
48,199289.5
49,199728.08
50,200885.47
51,201939.95
52,201442.1
53,200964.72
54,200209.47
55,203042.95
56,198033.19
57,200259.33
58,200034.84
59,200967.77
60,201018.16
61,200957.25
62,201649.48
63,202112.4
64,202607.5
65,202305.23
66,200552.17
67,201125.28
68,201488.28
69,203091.31
70,201669.45
71,201085.03
72,200298.08
73,201178.67
74,201872.83
75,203411.02
76,202857.34
77,201939.6
78,200735.73
79,202965.6
80,202273.16
81,201699.36
82,203969.3
83,202612.2
84,201089.53
85,202478.48
86,203192.1
87,201818.73
88,201295.19
89,201398.3
90,201558.23
91,202688.52
92,203235.17
93,203265.0
94,202677.22
95,203593.47
96,203775.52
97,202504.61
98,202234.19
99,203003.17
100,202549.6
101,202464.48
102,203699.58
103,203390.44
104,204540.44
105,203443.55
106,202609.2
107,203666.77
108,203998.17
109,203486.06
110,203226.12
111,202868.02
112,201615.44
113,204666.52
114,203937.72
115,204638.19
116,203774.28
117,201303.56
118,201973.4
119,203649.72
120,201667.36
121,205286.86
122,202901.27
123,202913.69
124,202442.75
125,204808.05
126,203844.42
127,204084.17
128,202466.11
129,204728.67
130,203378.28
131,203971.69
132,204140.9
133,204790.25
134,203362.33
135,203299.94
136,201758.62
137,203150.89
138,204053.64
139,202386.69
140,203061.77
141,204766.1
142,204336.7
143,204245.34
144,203273.45
145,201379.02
146,203860.16
147,204348.88
148,204044.23
149,203698.88
150,204132.5
